time,open,high,low,close,volume
2021-10-29 19:00:00,125.2,125.2,125.2,125.2,100
2021-10-29 18:00:00,125.11,125.28,125.1,125.1,6771
2021-10-29 17:00:00,125.1,125.37,125.05,125.1,423212
2021-10-29 16:00:00,125.31,125.35,124.91,125.12,1197010
2021-10-29 15:00:00,125.63,125.747,125.275,125.3101,419082
2021-10-29 14:00:00,125.715,125.72,125.52,125.6465,386888
2021-10-29 13:00:00,125.59,125.97,125.5101,125.71,407348
2021-10-29 12:00:00,125.67,125.93,125.35,125.5716,453668
2021-10-29 11:00:00,125.49,126.0,125.2201,125.6679,518256
2021-10-29 10:00:00,125.71,126.32,125.31,125.51,521845
2021-10-29 09:00:00,125.56,125.78,125.33,125.69,4973
2021-10-29 08:00:00,125.66,125.75,125.57,125.57,850
2021-10-29 07:00:00,125.55,125.6,125.37,125.5,4409
2021-10-29 06:00:00,125.2,125.55,125.2,125.55,1018
2021-10-29 05:00:00,125.11,125.2,125.03,125.03,3200
2021-10-28 20:00:00,125.84,125.84,125.84,125.84,352
2021-10-28 19:00:00,125.87,125.92,125.85,125.85,1532
2021-10-28 18:00:00,125.86,125.95,125.86,125.92,2111
2021-10-28 17:00:00,125.84,126.29,125.5,125.87,132936
2021-10-28 16:00:00,125.41,125.88,125.25,125.83,1194738
2021-10-28 15:00:00,125.43,125.92,125.365,125.416,549284
2021-10-28 14:00:00,125.105,125.5463,125.005,125.43,580225
2021-10-28 13:00:00,124.82,125.44,124.785,125.105,796445
2021-10-28 12:00:00,125.29,125.29,124.62,124.815,1184223
2021-10-28 11:00:00,125.83,125.9085,125.2,125.27,755438
2021-10-28 10:00:00,125.17,126.31,125.02,125.84,726723
2021-10-28 09:00:00,125.54,125.7824,125.22,125.55,8041
2021-10-28 08:00:00,125.49,125.52,125.49,125.52,525
2021-10-28 07:00:00,125.29,125.3,125.29,125.3,575
2021-10-27 20:00:00,125.45,125.74,125.42,125.54,3641
2021-10-27 19:00:00,125.35,125.45,125.34,125.45,5907
2021-10-27 18:00:00,125.18,125.34,125.15,125.15,2111
2021-10-27 17:00:00,125.17,125.27,125.0201,125.16,83436
2021-10-27 16:00:00,125.215,125.41,125.01,125.16,1273315
2021-10-27 15:00:00,125.43,125.55,125.03,125.2147,860575
2021-10-27 14:00:00,125.66,125.9168,125.26,125.42,789926
2021-10-27 13:00:00,125.7,125.97,125.52,125.67,540785
2021-10-27 12:00:00,126.15,126.2341,125.63,125.69,868774
2021-10-27 11:00:00,127.63,127.88,126.11,126.15,874282
2021-10-27 10:00:00,127.33,127.73,127.15,127.6,1154868
2021-10-27 09:00:00,127.19,127.33,127.13,127.33,4534
2021-10-27 08:00:00,127.4,127.4,127.2,127.29,2020
2021-10-27 07:00:00,127.2,127.2,127.2,127.2,310
2021-10-27 06:00:00,127.19,127.19,127.19,127.19,290
2021-10-26 20:00:00,127.21,127.3499,127.15,127.3499,945
2021-10-26 18:00:00,127.2,127.2,127.1,127.12,1451
2021-10-26 17:00:00,127.13,127.295,127.05,127.2,871512
2021-10-26 16:00:00,127.39,127.84,127.13,127.155,1454795
2021-10-26 15:00:00,127.02,127.405,126.99,127.39,563821
2021-10-26 14:00:00,126.935,127.17,126.755,127.0,616598
2021-10-26 13:00:00,127.195,127.27,126.89,126.96,844035
2021-10-26 12:00:00,127.62,127.8,127.14,127.19,737420
2021-10-26 11:00:00,127.75,127.85,127.35,127.62,750663
2021-10-26 10:00:00,127.86,128.3,127.01,127.78,665255
2021-10-26 09:00:00,128.0,128.1,127.85,127.96,9673
2021-10-26 08:00:00,127.85,128.01,127.85,128.01,438
2021-10-25 20:00:00,127.7,127.7,127.7,127.7,500
2021-10-25 19:00:00,127.9199,127.92,127.7,127.8,1505
2021-10-25 18:00:00,127.65,127.85,127.65,127.81,1314
2021-10-25 17:00:00,127.64,127.75,127.51,127.75,187884
2021-10-25 16:00:00,127.75,127.845,127.42,127.67,1303885
2021-10-25 15:00:00,127.55,127.92,127.0,127.75,657158
2021-10-25 14:00:00,127.73,127.9616,127.51,127.56,535026
2021-10-25 13:00:00,127.8999,128.12,127.63,127.7191,504521
2021-10-25 12:00:00,127.69,128.08,127.49,127.89,655034
2021-10-25 11:00:00,128.5523,128.65,127.7,127.71,860125
2021-10-25 10:00:00,128.0,128.55,126.94,128.545,904892
2021-10-25 09:00:00,128.1,128.19,127.88,128.13,10664
2021-10-25 08:00:00,128.1,128.1,127.85,127.97,5340
2021-10-25 07:00:00,128.07,128.1,128.01,128.01,1777
2021-10-25 06:00:00,128.04,128.04,128.04,128.04,320
2021-10-25 05:00:00,128.3,128.3,128.3,128.3,813
2021-10-22 20:00:00,127.75,127.85,127.75,127.85,6273
2021-10-22 19:00:00,127.8,127.88,127.75,127.75,6256
2021-10-22 18:00:00,127.75,127.88,127.71,127.88,5882
2021-10-22 17:00:00,127.88,127.9,127.67,127.68,137451
2021-10-22 16:00:00,128.135,128.21,127.39,127.91,1739246
2021-10-22 15:00:00,127.16,128.62,127.08,128.12,1060267
2021-10-22 14:00:00,126.74,127.49,126.611,127.15,944979
2021-10-22 13:00:00,127.78,128.08,126.71,126.74,1395060
2021-10-22 12:00:00,127.65,127.93,127.44,127.78,1540566
2021-10-22 11:00:00,129.67,130.25,127.63,127.66,2029569
2021-10-22 10:00:00,128.5,129.9,127.4001,129.69,2053695
2021-10-22 09:00:00,128.9948,129.0,128.33,128.33,49543
2021-10-22 08:00:00,128.9,128.9,128.6,128.7,15164
2021-10-22 07:00:00,128.89,129.11,128.55,128.7,8751
2021-10-22 06:00:00,128.71,128.94,128.71,128.9,2702
2021-10-22 05:00:00,128.8,129.15,128.69,128.86,1603
2021-10-21 20:00:00,128.7,128.85,128.55,128.84,16735
2021-10-21 19:00:00,128.51,128.69,128.44,128.66,8489
2021-10-21 18:00:00,128.8,128.8,128.4601,128.55,15997
2021-10-21 17:00:00,128.33,129.26,128.3,128.8,574252
2021-10-21 16:00:00,129.32,129.95,128.1,128.31,4849723
2021-10-21 15:00:00,129.05,129.86,128.86,129.29,2741230
2021-10-21 14:00:00,130.025,130.04,128.97,129.045,3239570
2021-10-21 13:00:00,130.31,130.42,129.91,130.025,4068172
2021-10-21 12:00:00,131.18,131.39,130.25,130.32,3739344
2021-10-21 11:00:00,132.04,132.3849,131.13,131.17,5045131
2021-10-21 10:00:00,134.28,135.45,131.9,132.0388,5851417
2021-10-21 09:00:00,135.0501,135.4,134.1501,134.29,220133
2021-10-21 08:00:00,135.25,135.4,134.06,134.4,76190
2021-10-21 07:00:00,135.08,135.15,135.0,135.0,4002
2021-10-21 06:00:00,135.5,135.5,135.25,135.25,4377
2021-10-21 05:00:00,135.5,135.5,135.5,135.5,529
2021-10-20 20:00:00,135.94,135.98,135.66,135.85,23370
2021-10-20 19:00:00,135.65,136.05,135.65,135.95,61016
2021-10-20 18:00:00,135.4,136.4,134.91,135.74,238049
2021-10-20 17:00:00,141.9,142.42,134.35,135.4,1102229
2021-10-20 16:00:00,141.82,142.1,141.58,141.73,1301702
2021-10-20 15:00:00,141.66,141.82,141.53,141.805,428147
2021-10-20 14:00:00,141.8593,142.11,141.61,141.6575,501653
2021-10-20 13:00:00,141.31,141.9299,141.25,141.84,451310
2021-10-20 12:00:00,140.87,141.47,140.77,141.295,509597
2021-10-20 11:00:00,141.09,141.53,140.83,140.86,645100
2021-10-20 10:00:00,142.25,142.25,140.7,141.14,527900
2021-10-20 09:00:00,142.24,142.38,142.01,142.25,2517
2021-10-20 08:00:00,142.0,142.0,142.0,142.0,400
2021-10-19 20:00:00,142.2499,142.25,142.0,142.0,907
2021-10-19 19:00:00,142.25,142.25,142.25,142.25,300
2021-10-19 18:00:00,142.02,142.15,142.02,142.15,604
2021-10-19 17:00:00,141.98,142.5,141.98,142.15,84044
2021-10-19 16:00:00,141.77,142.0526,141.75,141.99,768267
2021-10-19 15:00:00,142.1499,142.28,141.63,141.75,363435
2021-10-19 14:00:00,142.6796,142.79,141.6,142.1415,466598
2021-10-19 13:00:00,142.63,142.94,142.59,142.685,404385
2021-10-19 12:00:00,141.97,142.71,141.87,142.6596,536313
2021-10-19 11:00:00,140.61,142.12,140.61,141.96,554295
2021-10-19 10:00:00,141.7,141.8,140.5201,140.6,748115
2021-10-19 09:00:00,142.6748,142.6748,141.12,141.78,12256
2021-10-19 08:00:00,142.33,142.5,142.26,142.5,1198
2021-10-19 07:00:00,142.31,142.65,142.31,142.65,548
2021-10-19 05:00:00,142.1,142.32,142.1,142.32,2303
2021-10-18 20:00:00,141.92,141.92,141.8,141.8,1580
2021-10-18 19:00:00,141.6,141.85,141.53,141.7,7250
2021-10-18 18:00:00,142.06,142.32,141.55,141.55,55333
2021-10-18 17:00:00,142.32,142.55,142.0,142.03,78102
2021-10-18 16:00:00,142.22,142.59,142.16,142.3,1362039
2021-10-18 15:00:00,141.86,142.31,141.759,142.21,629533
2021-10-18 14:00:00,143.37,143.4015,141.77,141.87,1228148
2021-10-18 13:00:00,144.43,144.4922,142.56,143.355,1128123
2021-10-18 12:00:00,144.39,144.94,144.33,144.42,313652
2021-10-18 11:00:00,144.14,144.77,144.0901,144.392,459774
2021-10-18 10:00:00,143.75,144.17,143.23,144.125,376624
2021-10-18 09:00:00,144.0,144.25,143.68,143.68,3578
2021-10-18 06:00:00,144.2,144.2,144.2,144.2,228
2021-10-15 20:00:00,144.55,144.55,144.55,144.55,636
2021-10-15 19:00:00,144.6,144.6,144.4,144.4,2612
2021-10-15 18:00:00,144.6,144.6,144.6,144.6,150
2021-10-15 17:00:00,144.61,144.85,144.6,144.85,65771
2021-10-15 16:00:00,144.47,144.65,144.21,144.61,624705
2021-10-15 15:00:00,144.51,144.85,144.41,144.485,288784
2021-10-15 14:00:00,144.15,144.585,144.1,144.51,251856
2021-10-15 13:00:00,143.94,144.275,143.93,144.14,261991
2021-10-15 12:00:00,144.153,144.175,143.63,143.94,287869
2021-10-15 11:00:00,144.15,144.475,143.83,144.13,396344
2021-10-15 10:00:00,143.7,144.28,142.79,144.09,526071
2021-10-15 09:00:00,143.51,143.9,143.39,143.7,1881
2021-10-15 08:00:00,143.54,143.54,143.52,143.52,249
2021-10-15 05:00:00,143.71,143.71,143.71,143.71,154
2021-10-14 20:00:00,143.5,143.5,143.46,143.46,211
2021-10-14 19:00:00,143.4,143.4,143.4,143.4,110
2021-10-14 18:00:00,143.4,143.4,142.97,143.0,6124
2021-10-14 17:00:00,143.39,143.5,143.39,143.5,164030
2021-10-14 16:00:00,143.84,143.92,143.25,143.41,1132200
2021-10-14 15:00:00,143.4,143.84,143.27,143.83,529274
2021-10-14 14:00:00,143.29,143.42,143.01,143.41,432833
2021-10-14 13:00:00,142.955,143.2901,142.89,143.29,261534
2021-10-14 12:00:00,143.02,143.12,142.7,142.95,409807
2021-10-14 11:00:00,142.18,143.07,142.18,143.04,434644
2021-10-14 10:00:00,141.46,142.24,140.4,142.14,311674
2021-10-14 09:00:00,141.47,141.64,141.41,141.41,1954
2021-10-14 08:00:00,141.5,141.53,141.5,141.53,531
2021-10-13 19:00:00,140.8,140.8,140.8,140.8,107
2021-10-13 18:00:00,140.8,140.8,140.8,140.8,200
2021-10-13 17:00:00,140.76,141.45,140.76,141.45,99005
2021-10-13 16:00:00,140.65,140.93,140.55,140.79,495708
2021-10-13 15:00:00,141.1,141.41,140.54,140.65,227600
2021-10-13 14:00:00,140.79,141.27,140.71,141.1,190658
2021-10-13 13:00:00,140.6,140.87,140.53,140.77,193367
2021-10-13 12:00:00,139.86,140.85,139.78,140.62,322513
2021-10-13 11:00:00,140.23,140.31,139.66,139.845,528836
2021-10-13 10:00:00,140.34,141.12,140.0,140.28,361849
2021-10-13 09:00:00,140.71,141.12,140.14,140.34,10198
2021-10-13 08:00:00,140.65,140.78,140.42,140.78,714
2021-10-12 18:00:00,140.3,140.35,140.3,140.35,884
2021-10-12 17:00:00,140.47,140.5,140.47,140.47,98369
2021-10-12 16:00:00,140.71,140.8,140.3,140.46,679881
2021-10-12 15:00:00,140.56,141.11,140.55,140.705,327994
2021-10-12 14:00:00,140.685,140.79,140.54,140.56,258001
2021-10-12 13:00:00,141.06,141.24,140.6,140.68,342260
2021-10-12 12:00:00,141.14,141.43,140.8805,141.04,304277
2021-10-12 11:00:00,141.67,141.8006,140.71,141.12,461593
2021-10-12 10:00:00,142.65,142.8,141.21,141.76,327081
2021-10-12 09:00:00,142.65,142.65,142.31,142.31,918
2021-10-12 07:00:00,142.01,142.01,142.01,142.01,126
2021-10-11 20:00:00,142.4,142.4,142.2,142.2,797
2021-10-11 19:00:00,142.25,142.25,142.1001,142.1001,601
2021-10-11 18:00:00,142.42,142.42,142.1,142.1,504
2021-10-11 17:00:00,142.43,142.43,142.43,142.43,286776
2021-10-11 16:00:00,142.84,142.89,142.42,142.43,609877
2021-10-11 15:00:00,142.75,143.04,142.685,142.85,207744
2021-10-11 14:00:00,143.18,143.19,142.67,142.79,326021
2021-10-11 13:00:00,143.97,143.9864,143.15,143.18,195953
2021-10-11 12:00:00,143.82,144.06,143.67,143.97,267034
2021-10-11 11:00:00,143.14,144.08,143.11,143.835,289531
2021-10-11 10:00:00,143.46,143.8,142.49,143.14,347058
2021-10-11 09:00:00,143.27,143.37,143.25,143.25,900
2021-10-11 08:00:00,142.91,143.49,142.91,143.27,8199
2021-10-08 19:00:00,143.2,143.2,143.2,143.2,493
2021-10-08 18:00:00,143.2,143.2,143.2,143.2,245
2021-10-08 17:00:00,143.22,143.25,143.05,143.05,38410
2021-10-08 16:00:00,143.34,143.65,143.195,143.25,910200
2021-10-08 15:00:00,142.87,143.555,142.85,143.345,360726
2021-10-08 14:00:00,142.79,142.89,142.5,142.875,198075
2021-10-08 13:00:00,142.98,143.25,142.65,142.79,253274
2021-10-08 12:00:00,142.54,143.37,142.47,142.965,558352
2021-10-08 11:00:00,142.72,143.1096,142.2619,142.54,378673
2021-10-08 10:00:00,141.71,143.0,141.05,142.725,573195
